client_id,province_territory,population_range,municipal_budget_range,annual_retention_rate,avg_training_hours_per_employee,has_gis_strategy,tickets_per_month,avg_years_experience,pct_work_reactive,num_domains_served,gis_fte,gis_spend_share_percent,population_numeric_sim,municipal_budget_numeric_sim
C001,AB,< 25k,$250M–$999M,0.838,18.0,1,101,11.0,0.899,9,57.4,2.991,7035,261227655
C002,YT,25k–99k,$250M–$999M,0.867,12.9,0,207,6.8,0.749,3,38.0,2.446,47020,358774265
C003,PE,< 25k,< $250M,0.895,20.2,0,325,11.1,0.377,6,56.0,2.985,16548,1
C004,QC,< 25k,< $250M,0.891,17.3,1,181,7.3,0.613,11,40.7,2.459,13926,1
C005,QC,100k–249k,$250M–$999M,0.815,32.7,1,456,4.5,0.477,12,222.9,3.0,217585,437152005
C006,NT,100k–249k,< $250M,0.885,29.0,1,328,5.2,0.499,12,290.6,2.946,199647,1
C007,AB,250k–999k,$5B+,0.894,20.7,0,324,2.6,0.583,12,300.0,2.761,554790,9467233198
C008,NL,25k–99k,$250M–$999M,0.99,12.7,1,265,4.3,0.661,8,91.5,1.914,86052,379714590
C009,SK,25k–99k,$250M–$999M,0.99,10.2,0,918,5.9,0.489,4,69.9,2.419,37523,328982263
C010,AB,25k–99k,$250M–$999M,0.829,26.3,1,156,9.4,0.741,11,207.6,3.0,26703,443003108
C011,NB,< 25k,< $250M,0.863,19.8,0,44,12.2,0.344,10,76.5,2.143,2251,1
C012,NU,< 25k,$5B+,0.792,21.4,0,553,2.9,0.551,12,139.5,3.0,18059,6868288644
C013,NL,25k–99k,$250M–$999M,0.845,5.8,1,131,8.2,0.95,9,49.1,2.95,59641,273616667
C014,NL,25k–99k,$1B–$4.9B,0.899,24.5,0,194,3.9,0.59,3,94.8,2.116,37095,1746789611
C015,NL,100k–249k,< $250M,0.952,21.2,0,450,8.4,0.808,7,169.9,2.997,175157,0
C016,YT,25k–99k,$250M–$999M,0.836,10.2,0,59,6.6,0.566,6,23.0,1.402,36423,484203288
C017,NB,250k–999k,$250M–$999M,0.841,14.7,1,75,1.5,0.655,11,115.2,3.0,772240,310242644
C018,AB,100k–249k,$5B+,0.751,19.8,1,59,9.8,0.54,6,141.0,2.388,166923,5613789662
C019,YT,25k–99k,$250M–$999M,0.87,18.4,1,103,5.2,0.519,5,42.6,1.852,53577,457778168
C020,QC,250k–999k,$250M–$999M,0.816,16.0,1,245,5.4,0.41,2,109.4,2.992,476134,288321079
C021,NB,250k–999k,$250M–$999M,0.848,17.3,1,260,3.8,0.627,11,138.0,2.997,722712,294817077
C022,ON,25k–99k,$250M–$999M,0.827,16.2,1,218,5.0,0.397,10,167.1,3.0,52136,399845698
C023,SK,25k–99k,$250M–$999M,0.874,19.1,1,67,8.3,0.67,2,67.7,2.974,31574,468640510
C024,NU,100k–249k,$250M–$999M,0.775,28.3,1,36,6.4,0.745,6,67.1,2.82,117701,299108666
C025,YT,< 25k,< $250M,0.792,0.0,1,187,8.0,0.616,7,34.0,2.517,24047,0
C026,PE,< 25k,$1B–$4.9B,0.99,16.3,0,129,8.1,0.498,7,31.5,2.948,22715,1777404838
C027,QC,< 25k,$1B–$4.9B,0.803,19.2,0,248,11.0,0.632,12,83.2,3.0,17493,1971826426
C028,YT,100k–249k,< $250M,0.814,20.1,1,294,6.0,0.494,3,79.6,2.65,139880,1
C029,NS,100k–249k,$250M–$999M,0.99,15.4,1,198,2.6,0.718,5,60.2,2.341,245376,285974376
C030,QC,100k–249k,< $250M,0.99,5.7,0,306,10.2,0.22,3,98.5,2.794,216813,0
C031,QC,100k–249k,$1B–$4.9B,0.81,20.3,1,211,6.0,0.49,4,225.5,3.0,207534,1229656030
C032,SK,25k–99k,$250M–$999M,0.858,30.1,1,261,10.3,0.192,11,175.7,3.0,58702,282955554
C033,AB,100k–249k,$1B–$4.9B,0.9,7.3,1,110,8.2,0.281,12,123.1,2.779,140836,1677658674
C034,NS,< 25k,$1B–$4.9B,0.984,24.0,0,159,6.6,0.795,2,60.8,2.045,2410,1121832505
C035,NT,< 25k,$1B–$4.9B,0.821,15.7,1,207,8.0,0.711,8,166.8,2.986,22565,1506329932
C036,BC,100k–249k,< $250M,0.865,17.6,0,320,12.9,0.42,4,87.0,2.682,168366,1
C037,NT,25k–99k,$5B+,0.927,10.6,0,137,13.2,0.28,4,153.0,1.967,40177,7905583046
C038,YT,100k–249k,< $250M,0.906,15.7,1,259,7.2,0.05,5,224.2,3.0,145893,0
C039,MB,100k–249k,< $250M,0.857,27.1,0,149,7.5,0.452,4,52.1,2.765,186883,1
C040,PE,100k–249k,$250M–$999M,0.872,22.1,0,166,10.2,0.95,7,87.1,2.646,126516,428851782
C041,SK,100k–249k,$250M–$999M,0.798,30.1,1,322,4.5,0.628,12,216.3,3.0,228492,434746001
C042,NL,100k–249k,$1B–$4.9B,0.866,26.2,1,45,8.0,0.449,8,125.4,2.943,213778,1131057752
C043,NL,25k–99k,$1B–$4.9B,0.864,21.1,1,73,6.9,0.634,9,136.1,1.773,78960,1123753804
C044,ON,< 25k,$250M–$999M,0.894,30.2,1,64,7.9,0.269,7,82.5,3.0,10802,481890638
C045,BC,25k–99k,$5B+,0.847,21.1,1,35,4.5,0.496,2,25.8,1.631,72048,6987890969
C046,NU,25k–99k,$250M–$999M,0.908,23.8,0,112,2.2,0.568,2,49.4,2.981,68807,325237173
C047,QC,25k–99k,$250M–$999M,0.941,15.9,1,304,0.8,0.535,4,42.6,2.805,73738,372146011
C048,NT,250k–999k,$250M–$999M,0.889,18.5,1,147,3.6,0.692,4,200.0,3.0,313333,415716053
C049,PE,25k–99k,$5B+,0.901,13.1,0,207,5.6,0.612,11,114.7,1.959,56186,9778116285
C050,YT,< 25k,< $250M,0.883,24.9,1,386,6.1,0.67,11,85.3,3.0,1040,0
